,city,cloudiness,lat
402,lokachi,0,50.74
403,wajid,0,3.81
404,puerto colombia,75,10.99
405,college,40,64.86
406,fuzhou,20,26.08
407,itarantim,92,-15.65
408,favara,80,37.32
409,laramie,1,41.31
410,harper,1,30.3
411,sfantu gheorghe,0,44.65
412,ambilobe,0,-13.19
413,nador,20,35.17
414,srednekolymsk,12,67.46
415,kieta,48,-6.22
416,carupano,68,10.67
417,kudahuvadhoo,76,2.67
418,sao filipe,8,14.9
419,moroni,0,39.52
420,nanortalik,0,60.14
421,mattawa,90,46.32
422,vari,75,37.83
423,katesh,24,-4.52
424,burnie,36,-41.05
425,luorong,88,24.41
426,kungurtug,80,50.6
427,bria,48,6.54
428,psebay,92,44.12
429,kutum,0,14.2
430,port hardy,40,50.7
431,skibbereen,75,51.55
432,anadyr,75,64.73
433,igra,92,57.55
434,ulaanbaatar,75,47.92
435,ojinaga,24,29.56
436,canon city,0,39.46
437,norman wells,90,65.28
438,havoysund,0,71.0
439,iskateley,88,67.68
440,ternate,40,14.29
441,tumarbong,20,10.38
442,hambantota,12,6.12
443,valer,0,41.76
444,vaitape,20,-16.52
445,rio branco,0,-9.98
446,esso,88,55.93
447,hokitika,0,-42.72
448,grand-santi,44,4.27
449,teguise,0,29.06
450,khasan,0,42.43
451,sorong,24,-0.86
452,itarare,88,-24.11
453,huadian,0,42.97
454,bafata,88,12.17
455,marrakesh,40,31.63
456,la libertad,0,-16.38
457,sainte-marie,90,46.45
458,sobolevo,8,54.43
459,pilar,0,-34.46
460,estelle,20,32.87
461,strezhevoy,48,60.73
462,vestmanna,48,62.16
463,alta floresta,20,-9.87
464,matara,24,-13.74
465,vavozh,100,56.77
466,karratha,0,-20.74
467,ashtabula,90,41.87
468,aksu,40,52.04
469,hobyo,0,5.35
470,passo fundo,92,-28.26
471,pitimbu,20,-7.47
472,ulaangom,68,49.98
473,kulhudhuffushi,36,6.62
474,muros,0,42.77
475,meulaboh,0,4.14
476,puerto del rosario,0,28.5
477,banda aceh,24,5.56
478,brest,8,52.09
479,port hawkesbury,1,45.62
480,batagay-alyta,88,67.8
481,lewistown,75,40.39
482,frontera,40,18.53
483,villamontes,100,-21.26
484,isilkul,0,54.9
485,falam,8,22.91
486,kaeo,56,-35.1
487,duldurga,0,50.67
488,cabedelo,20,-6.97
489,inuvik,90,68.36
490,loandjili,92,-4.77
491,dungarpur,0,23.85
492,quatis,0,-22.41
493,waingapu,0,-9.65
494,mutuipe,100,-13.23
495,buchanan,75,5.88
496,necochea,92,-38.55
497,kyren,92,51.68
498,escondido,20,33.12
499,sumter,1,33.92
500,praya,20,-8.71
501,kruisfontein,0,-34.0
502,baghdad,0,33.3
503,murdochville,100,48.96
504,berezovyy,0,51.67
505,tessalit,88,20.2
506,pingliang,92,35.54
507,mecca,0,21.43
508,fare,32,-16.7
509,takayama,75,36.14
510,hanting,0,30.92
511,gemena,0,3.25
512,itororo,76,-15.12
513,obo,32,5.39
514,tual,8,-5.67
515,matamoros,1,25.87
516,fairbanks,40,64.84
517,tubbergen,0,52.41
518,spas-demensk,0,54.41
519,caxito,0,-22.65
520,bukama,20,-9.2
521,pathein,0,16.78
522,belyy yar,40,53.6
523,superior,1,39.95
524,morant bay,20,17.88
525,santa rosa,100,-36.62
526,boa vista,0,2.82
527,faanui,24,-16.48
528,saint-francois,0,46.42
529,rovaniemi,0,66.5
530,santa lucia,88,39.93
531,emilio carranza,8,19.97
532,araxa,0,-19.59
533,miles city,1,46.41
534,darhan,92,49.49
535,koumac,100,-20.56
536,sangar,32,63.92
537,dicabisagan,0,17.08
538,kyshtovka,12,56.56
539,megion,56,61.04
540,rosignano marittimo,0,43.41
